description,trim,"vehicle type",drive,transmission,cylinders,colour,odometer,"actual cash value","List price",salePrice,dii,"stock #","key #",cert/as-is,status,other,images
"2009 Yamaha YZF-R6",'-,N/A,N/A,N/A,0,Black,0,$0.00,$0.00,$0.00,1,3939,,As-Is,"In Stock",,
"2016 Nissan Rogue","S AWD",SUV,AWD,Automatic,4,Red,"135,877",$0.00,"$13,999.00",$0.00,2,2021,,Certified,"Coming Soon",,
"2016 Kia Forte 5-Door",EX,Car,FWD,Automatic,4,Black,"142,234",$0.00,"$10,999.00",$0.00,2,2738,,Certified,"Coming Soon",,
"2017 RAM 1500","SLT Crew Cab SWB 4WD",Truck,4X4,Automatic,6,Grey,"197,626",$0.00,"$17,999.00",$0.00,3,2602,,Certified,"Coming Soon",,
"2017 Subaru Outback","2.5i Touring",Car,AWD,Automatic,4,Black,"151,022",$0.00,"$18,999.00",$0.00,7,2147,,Certified,"In Stock",,"https://dealerpull.blob.core.windows.net/photos-394646/img_133919955830113271.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955835164980.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955839602801.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955843962633.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955848767782.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955909792106.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955914104166.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955918526159.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955922855729.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955927394084.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955983253343.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955987874587.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955992869860.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919955998180708.jpeg,https://dealerpull.blob.core.windows.net/photos-394646/img_133919957821406727.jpeg"
"2013 BMW 3-Series","335i xDrive Sedan",Car,AWD,Automatic,6,,"114,950",$0.00,"$21,999.00",$0.00,465,9148,,Certified,"In Stock",,"https://dealerpull.blob.core.windows.net/photos-393748/img_133916512401192028.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916512460751491.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916513306628650.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916513896160965.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916513983433617.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916514028209518.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916514070608496.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916514177435199.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916514907407884.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916514977066770.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515091143628.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515173217836.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515235124688.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515280623887.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515351226238.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515405855524.jpg,https://dealerpull.blob.core.windows.net/photos-393748/img_133916515463775292.jpg"
"2014 Mercedes-Benz GL-Class","GL350 BlueTEC",SUV,AWD,Automatic,6,White,"168,364",$0.00,"$26,999.00",$0.00,1111,0057,,Certified,"In Stock",,"https://dealerpull.blob.core.windows.net/photos-395034/img_133922596415883062.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596423288668.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596427620703.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596431745314.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596435797954.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596483769471.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596488379303.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596493140624.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596497304405.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596501130998.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596548712793.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596552514673.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596555475946.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596560465871.jpeg,https://dealerpull.blob.core.windows.net/photos-395034/img_133922596563233126.jpeg"
"2010 Nissan Z","370Z Coupe",Car,RWD,Manual-6,6,White,"137,207",$0.00,"$19,999.00",$0.00,1111,3353,,As-Is,"In Stock",,"https://dealerpull.blob.core.windows.net/photos-395938/img_133925114197577337.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114204208521.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114209238219.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114214438469.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114219136907.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114570043009.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114580310530.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114584374331.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114591366000.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114595176263.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114829387689.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114834354883.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114838023010.jpeg,https://dealerpull.blob.core.windows.net/photos-395938/img_133925114841151732.jpeg"
"2002 Porsche Boxster",Base,Car,RWD,Manual-5,6,Beige,"62,973",$0.00,"$22,495.00",$0.00,1123,4094,,Certified,"In Stock",,"https://dealerpull.blob.core.windows.net/photos-393411/img_133916416466647960.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916424238554616.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916424316710176.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916424383384491.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916424562697181.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916425353649258.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916425568595191.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133916425815412936.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133918134331968225.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133918134375571124.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133918134406423727.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133918134640644769.jpg,https://dealerpull.blob.core.windows.net/photos-393411/img_133918134921239409.jpg"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
